relation_id,source_node_id,source_node_type,source_source_id,target_node_id,target_node_type,target_source_id,relation_type,description,target_citation,target_resolution,source_reference,candidate_confidence,review_status,reviewer_id
REL_00027,SHL_SONGBEN_0027,clause,SHSRC0033,SHL_SONGBEN_0028,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00028,SHL_SONGBEN_0028,clause,SHSRC0033,SHL_SONGBEN_0029,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00029,SHL_SONGBEN_0029,clause,SHSRC0033,SHL_SONGBEN_0030,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00030,SHL_SONGBEN_0031,clause,SHSRC0033,SHL_SONGBEN_0032,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00031,SHL_SONGBEN_0032,clause,SHSRC0033,SHL_SONGBEN_0033,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00032,SHL_SONGBEN_0033,clause,SHSRC0033,SHL_SONGBEN_0034,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00033,SHL_SONGBEN_0034,clause,SHSRC0033,SHL_SONGBEN_0035,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00034,SHL_SONGBEN_0035,clause,SHSRC0033,SHL_SONGBEN_0036,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00035,SHL_SONGBEN_0036,clause,SHSRC0033,SHL_SONGBEN_0037,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00036,SHL_SONGBEN_0037,clause,SHSRC0033,SHL_SONGBEN_0038,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00037,SHL_SONGBEN_0038,clause,SHSRC0033,SHL_SONGBEN_0039,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00038,SHL_SONGBEN_0039,clause,SHSRC0033,SHL_SONGBEN_0040,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00039,SHL_SONGBEN_0040,clause,SHSRC0033,SHL_SONGBEN_0041,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00040,SHL_SONGBEN_0041,clause,SHSRC0033,SHL_SONGBEN_0042,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00041,SHL_SONGBEN_0042,clause,SHSRC0033,SHL_SONGBEN_0043,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00042,SHL_SONGBEN_0043,clause,SHSRC0033,SHL_SONGBEN_0044,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00043,SHL_SONGBEN_0044,clause,SHSRC0033,SHL_SONGBEN_0045,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00044,SHL_SONGBEN_0045,clause,SHSRC0033,SHL_SONGBEN_0046,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00045,SHL_SONGBEN_0046,clause,SHSRC0033,SHL_SONGBEN_0047,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00046,SHL_SONGBEN_0047,clause,SHSRC0033,SHL_SONGBEN_0048,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00047,SHL_SONGBEN_0048,clause,SHSRC0033,SHL_SONGBEN_0049,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00048,SHL_SONGBEN_0049,clause,SHSRC0033,SHL_SONGBEN_0050,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00049,SHL_SONGBEN_0050,clause,SHSRC0033,SHL_SONGBEN_0051,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00050,SHL_SONGBEN_0051,clause,SHSRC0033,SHL_SONGBEN_0052,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00051,SHL_SONGBEN_0052,clause,SHSRC0033,SHL_SONGBEN_0053,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00052,SHL_SONGBEN_0053,clause,SHSRC0033,SHL_SONGBEN_0054,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00053,SHL_SONGBEN_0054,clause,SHSRC0033,SHL_SONGBEN_0055,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00054,SHL_SONGBEN_0055,clause,SHSRC0033,SHL_SONGBEN_0056,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00055,SHL_SONGBEN_0056,clause,SHSRC0033,SHL_SONGBEN_0057,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00056,SHL_SONGBEN_0057,clause,SHSRC0033,SHL_SONGBEN_0058,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00057,SHL_SONGBEN_0058,clause,SHSRC0033,SHL_SONGBEN_0059,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00058,SHL_SONGBEN_0059,clause,SHSRC0033,SHL_SONGBEN_0060,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00059,SHL_SONGBEN_0060,clause,SHSRC0033,SHL_SONGBEN_0061,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00060,SHL_SONGBEN_0061,clause,SHSRC0033,SHL_SONGBEN_0062,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00061,SHL_SONGBEN_0062,clause,SHSRC0033,SHL_SONGBEN_0063,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00062,SHL_SONGBEN_0063,clause,SHSRC0033,SHL_SONGBEN_0064,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00063,SHL_SONGBEN_0064,clause,SHSRC0033,SHL_SONGBEN_0065,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00064,SHL_SONGBEN_0065,clause,SHSRC0033,SHL_SONGBEN_0066,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00065,SHL_SONGBEN_0066,clause,SHSRC0033,SHL_SONGBEN_0067,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00066,SHL_SONGBEN_0067,clause,SHSRC0033,SHL_SONGBEN_0068,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00067,SHL_SONGBEN_0068,clause,SHSRC0033,SHL_SONGBEN_0069,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00068,SHL_SONGBEN_0069,clause,SHSRC0033,SHL_SONGBEN_0070,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00069,SHL_SONGBEN_0070,clause,SHSRC0033,SHL_SONGBEN_0071,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00070,SHL_SONGBEN_0071,clause,SHSRC0033,SHL_SONGBEN_0072,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00071,SHL_SONGBEN_0072,clause,SHSRC0033,SHL_SONGBEN_0073,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00072,SHL_SONGBEN_0073,clause,SHSRC0033,SHL_SONGBEN_0074,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00073,SHL_SONGBEN_0074,clause,SHSRC0033,SHL_SONGBEN_0075,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00074,SHL_SONGBEN_0075,clause,SHSRC0033,SHL_SONGBEN_0076,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00075,SHL_SONGBEN_0076,clause,SHSRC0033,SHL_SONGBEN_0077,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00076,SHL_SONGBEN_0077,clause,SHSRC0033,SHL_SONGBEN_0078,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00077,SHL_SONGBEN_0078,clause,SHSRC0033,SHL_SONGBEN_0079,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00078,SHL_SONGBEN_0079,clause,SHSRC0033,SHL_SONGBEN_0080,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00079,SHL_SONGBEN_0080,clause,SHSRC0033,SHL_SONGBEN_0081,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00080,SHL_SONGBEN_0081,clause,SHSRC0033,SHL_SONGBEN_0082,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00081,SHL_SONGBEN_0082,clause,SHSRC0033,SHL_SONGBEN_0083,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00082,SHL_SONGBEN_0083,clause,SHSRC0033,SHL_SONGBEN_0084,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00083,SHL_SONGBEN_0084,clause,SHSRC0033,SHL_SONGBEN_0085,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00084,SHL_SONGBEN_0085,clause,SHSRC0033,SHL_SONGBEN_0086,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00085,SHL_SONGBEN_0086,clause,SHSRC0033,SHL_SONGBEN_0087,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00086,SHL_SONGBEN_0087,clause,SHSRC0033,SHL_SONGBEN_0088,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00087,SHL_SONGBEN_0088,clause,SHSRC0033,SHL_SONGBEN_0089,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00088,SHL_SONGBEN_0089,clause,SHSRC0033,SHL_SONGBEN_0090,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00089,SHL_SONGBEN_0090,clause,SHSRC0033,SHL_SONGBEN_0091,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00090,SHL_SONGBEN_0091,clause,SHSRC0033,SHL_SONGBEN_0092,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00091,SHL_SONGBEN_0092,clause,SHSRC0033,SHL_SONGBEN_0093,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00092,SHL_SONGBEN_0093,clause,SHSRC0033,SHL_SONGBEN_0094,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00093,SHL_SONGBEN_0094,clause,SHSRC0033,SHL_SONGBEN_0095,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00094,SHL_SONGBEN_0095,clause,SHSRC0033,SHL_SONGBEN_0096,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00095,SHL_SONGBEN_0096,clause,SHSRC0033,SHL_SONGBEN_0097,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00096,SHL_SONGBEN_0097,clause,SHSRC0033,SHL_SONGBEN_0098,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00097,SHL_SONGBEN_0098,clause,SHSRC0033,SHL_SONGBEN_0099,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00098,SHL_SONGBEN_0099,clause,SHSRC0033,SHL_SONGBEN_0100,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00099,SHL_SONGBEN_0100,clause,SHSRC0033,SHL_SONGBEN_0101,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00100,SHL_SONGBEN_0101,clause,SHSRC0033,SHL_SONGBEN_0102,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00101,SHL_SONGBEN_0102,clause,SHSRC0033,SHL_SONGBEN_0103,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00102,SHL_SONGBEN_0103,clause,SHSRC0033,SHL_SONGBEN_0104,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00103,SHL_SONGBEN_0104,clause,SHSRC0033,SHL_SONGBEN_0105,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00104,SHL_SONGBEN_0105,clause,SHSRC0033,SHL_SONGBEN_0106,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00105,SHL_SONGBEN_0106,clause,SHSRC0033,SHL_SONGBEN_0107,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00106,SHL_SONGBEN_0107,clause,SHSRC0033,SHL_SONGBEN_0108,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00107,SHL_SONGBEN_0108,clause,SHSRC0033,SHL_SONGBEN_0109,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00108,SHL_SONGBEN_0109,clause,SHSRC0033,SHL_SONGBEN_0110,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00109,SHL_SONGBEN_0110,clause,SHSRC0033,SHL_SONGBEN_0111,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00110,SHL_SONGBEN_0111,clause,SHSRC0033,SHL_SONGBEN_0112,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00111,SHL_SONGBEN_0112,clause,SHSRC0033,SHL_SONGBEN_0113,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00112,SHL_SONGBEN_0113,clause,SHSRC0033,SHL_SONGBEN_0114,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00113,SHL_SONGBEN_0114,clause,SHSRC0033,SHL_SONGBEN_0115,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00114,SHL_SONGBEN_0115,clause,SHSRC0033,SHL_SONGBEN_0116,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00115,SHL_SONGBEN_0116,clause,SHSRC0033,SHL_SONGBEN_0117,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00116,SHL_SONGBEN_0117,clause,SHSRC0033,SHL_SONGBEN_0118,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00117,SHL_SONGBEN_0118,clause,SHSRC0033,SHL_SONGBEN_0119,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00118,SHL_SONGBEN_0119,clause,SHSRC0033,SHL_SONGBEN_0120,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00119,SHL_SONGBEN_0120,clause,SHSRC0033,SHL_SONGBEN_0121,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00120,SHL_SONGBEN_0121,clause,SHSRC0033,SHL_SONGBEN_0122,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00121,SHL_SONGBEN_0122,clause,SHSRC0033,SHL_SONGBEN_0123,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00122,SHL_SONGBEN_0123,clause,SHSRC0033,SHL_SONGBEN_0124,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00123,SHL_SONGBEN_0124,clause,SHSRC0033,SHL_SONGBEN_0125,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00124,SHL_SONGBEN_0125,clause,SHSRC0033,SHL_SONGBEN_0126,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00125,SHL_SONGBEN_0126,clause,SHSRC0033,SHL_SONGBEN_0127,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00126,SHL_SONGBEN_0128,clause,SHSRC0033,SHL_SONGBEN_0129,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00127,SHL_SONGBEN_0129,clause,SHSRC0033,SHL_SONGBEN_0130,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00128,SHL_SONGBEN_0130,clause,SHSRC0033,SHL_SONGBEN_0131,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00129,SHL_SONGBEN_0131,clause,SHSRC0033,SHL_SONGBEN_0132,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00130,SHL_SONGBEN_0132,clause,SHSRC0033,SHL_SONGBEN_0133,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00131,SHL_SONGBEN_0133,clause,SHSRC0033,SHL_SONGBEN_0134,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00132,SHL_SONGBEN_0134,clause,SHSRC0033,SHL_SONGBEN_0135,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00133,SHL_SONGBEN_0135,clause,SHSRC0033,SHL_SONGBEN_0136,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00134,SHL_SONGBEN_0136,clause,SHSRC0033,SHL_SONGBEN_0137,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00135,SHL_SONGBEN_0137,clause,SHSRC0033,SHL_SONGBEN_0138,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00136,SHL_SONGBEN_0138,clause,SHSRC0033,SHL_SONGBEN_0139,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00137,SHL_SONGBEN_0139,clause,SHSRC0033,SHL_SONGBEN_0140,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00138,SHL_SONGBEN_0140,clause,SHSRC0033,SHL_SONGBEN_0141,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00139,SHL_SONGBEN_0141,clause,SHSRC0033,SHL_SONGBEN_0142,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
