source_id,title_zh,source_repository,source_url,upstream_collection,upstream_path,upstream_provenance_record,acquisition_note,n_files,characters,work_sha256,licence_status,licence_note
SHSRC0011,傷寒心鏡別集,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒心鏡別集,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒心鏡別集/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,1401,59be226945d10024737a2630030465b05ad323b1ee0de2874431ecea327f372b,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0012,傷寒恆論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒恆論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 21 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒恆論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,21,170524,4a506a3815d38e674c65e43e755e5af32397d981e96a88d023308a1baa59366c,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0013,傷寒懸解,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒懸解,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒懸解/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,78214,8604e42ad0108e902bba07ec7bef187586e4fe3c3b42f1e1b9b6b47792e94b2f,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0014,傷寒括要,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒括要,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒括要/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,63959,6f8766484cc02c99cec7aebc2fa764028f8420d34997c9936d0568f54438be37,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0015,傷寒指掌,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒指掌,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 8 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒指掌/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,8,127164,88a14d4b8aafebb7e6a3978b514dbde614d1b75f8701afce9a6b34b2eef97b11,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0016,傷寒捷訣,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒捷訣,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒捷訣/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,21308,91b0889ca707d824807f50019ea9398687865368e81876afbbe269176bbcb2ea,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0017,傷寒明理論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒明理論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒明理論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,41405,edbbed13a873194d2af0a550fe5fb655b5379c6737ad78c6790ec880212dd28f,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0018,傷寒明理論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒明理論_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒明理論_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,41586,4a5bc2f2f23df425a164f6ea4c696848961cdcd6db209120ab918ad1a3739d5d,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0019,傷寒標本心法類萃,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒標本心法類萃,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒標本心法類萃/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,16317,6ac963daf2f94a7af0eec129ac4c596a9ac676037fb27421f585f2a6c2bdfdd6,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0020,傷寒標本心法類萃,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒標本心法類萃_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒標本心法類萃_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,14562,8933db5b9bb7ed0edebe9a94436b371ab88456c91e22d526250e30700ff63f67,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0021,傷寒法祖,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒法祖,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒法祖/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,41355,9be983be4fc3b11c74165d89bac5876e5d761b810dfd0c72c64a43d2f29b3a26,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0022,傷寒溯源集,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒溯源集,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 16 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒溯源集/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,16,255457,20f4c8eed50f6e63d6269db79a9b5b428a1eb79972920c0027cf0874045fd4dc,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0023,傷寒發微論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒發微論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒發微論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,9842,93d7db3974ad82915a8a12c99597ade95665c0c096aa5fe138e5f675125c3d2a,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0024,傷寒百證歌,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒百證歌,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒百證歌/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,37178,7ea4c108cfda9cf09bc7f8f7f7381b3c3bca168c0bf0792a71a95e49e75cc6ce,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0025,傷寒直格,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒直格,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒直格/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,38077,a9a7637122b574f04f7218f23dd89437dd52bcb42e28b7ad898266601ef512aa,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0026,傷寒直格,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒直格_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒直格_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,37234,ef05f1fd68123e5a7a7c35a490e35e0a9fcd97d65c5abd383bb38ad944ff48b5,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0027,傷寒總病論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒總病論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒總病論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,72945,749e5cc5ae1ce9daff1f750b4fa31003e62eeffe9a98a6d543672f27c34d78b9,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0028,傷寒總病論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒總病論_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒總病論_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,71664,05369553022742137efc7b5ca90207d07a87c22ca30244462c9c05d29396c6e0,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0029,傷寒纘論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒纘論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 6 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒纘論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,6,106736,8ff62efd7256304214f8d827defb3761608377100a7199454716e0b2f59085a1,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0030,傷寒纘論·傷寒緒論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒纘論_傷寒緒論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 11 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒纘論_傷寒緒論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,11,240234,314010a7bed7b89d3cde019b3490eb53ae35bcd244e6196ee2c81020626c101c,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0031,傷寒舌鑑,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒舌鑑,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒舌鑑/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,11154,ec4f4e37ae3e3a2a461a4c0cf39de8194aa11bdc07dfeb176edcf389262c2ee6,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0032,傷寒補例,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒補例,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒補例/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,18510,7832b8b0390f9f913b9af06f3e71ac048b7f001acdd90723ff6c053728b6fd6e,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0033,傷寒論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論_條文版,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論_條文版/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,35333,ad955866646aae1095d4e2d8bf8e4bce471d44996d6ac511bd3a38bd153403b0,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0034,傷寒論(千金翼方),"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論_千金翼方版,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論_千金翼方版/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,28638,0e5a6fb5ef6c117d14928a0a65538f860ce56b82cee67c793e3397199e8331de,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0035,傷寒論(宋本),"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論_宋本,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論_宋本/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,50421,e3f8b8354e0e734033bb00be32c8ca864f109a6075ac84976edc50f3bcf1aa24,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0036,傷寒論條辨,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論條辨,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 24 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論條辨/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,24,151532,643f0b75a0c066b799c9f82da10a6a8af4a9a6a3d1c4ed5e145097c841c1c0d5,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0037,傷寒論條辨,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論條辨_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 10 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論條辨_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,10,137216,c4c9a01b7752c0dbe9aa8b996abd7f7e155b36ecb2b07713e040338a54591406,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0038,傷寒論注,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論注,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 8 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論注/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,8,108439,0cf82d75a624ead2ea0b8c429361ef63824947d33999849591168b995670285b,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0039,傷寒論綱目,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論綱目,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 21 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論綱目/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,21,323485,44f753afc8ceb9e9b22e96065f92e3d128749fc777d2a53837415185c0f08417,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0040,傷寒論翼,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論翼,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論翼/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,42273,5ee9e138c2ea8a3c1993e7614d1253e9d099dec82d10f8a36d2b0a5c5dac3eb2,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0041,傷寒論輯義,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒論輯義,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 12 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒論輯義/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,12,255911,cf03ea4545e2ef5eb39a952036f6f6114a6064a3dfc3b9530c75f244f80c94bd,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
