variant_id,source_id,clause_id,base_version,variant_version,variant_book,base_text,variant_text,similarity,notable_differences,candidate_confidence,candidate_source_level,manual_status,review_status,reviewer_id,source_resolution
VR_GUIBEN_0011,SHSRC0050,SHL_SONGBEN_0011,songben,guiben,傷寒雜病論_桂本,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,"6.11
病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也。",0.8,"[""宋本獨有用字：不近；"", ""傷寒雜病論_桂本獨有用字：\n.16""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0012,SHSRC0050,SHL_SONGBEN_0012,songben,guiben,傷寒雜病論_桂本,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,"6.12
病人身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也
。
6.13
太陽中風，陽浮而陰弱。陽浮者，熱自發；陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。",0.8,"[""傷寒雜病論_桂本獨有用字：\n.1236不也人反在大欲病皮膚衣身近骨髓；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0013,SHSRC0050,SHL_SONGBEN_0013,songben,guiben,傷寒雜病論_桂本,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,"6.14
太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。（方見前）",0.909,"[""傷寒雜病論_桂本獨有用字：\n.146前方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0014,SHSRC0050,SHL_SONGBEN_0014,songben,guiben,傷寒雜病論_桂本,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,"6.15
太陽病，項背強儿儿，及汗出、惡風者，桂枝加葛根湯主之。",0.81,"[""宋本獨有用字：几反"", ""傷寒雜病論_桂本獨有用字：\n.156、儿及""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0015,SHSRC0050,SHL_SONGBEN_0015,songben,guiben,傷寒雜病論_桂本,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,"6.16
太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不可與之。",0.941,"[""宋本獨有用字：得"", ""傷寒雜病論_桂本獨有用字：\n.16""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0016,SHSRC0050,SHL_SONGBEN_0016,songben,guiben,傷寒雜病論_桂本,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。常須識此，勿令誤也。,"6.17
太陽病三日，已發汗，若吐，若下，若溫針，仍不解者，此為壞病，桂枝湯不可與也。觀其脈證，知犯何逆，隨證治之。",0.691,"[""宋本獨有用字：、中人令出勿常本浮熱緊肌誤識須"", ""傷寒雜病論_桂本獨有用字：\n.167湯""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0017,SHSRC0050,SHL_SONGBEN_0018,songben,guiben,傷寒雜病論_桂本,喘家作，桂枝湯加厚朴、杏子佳。,"6.19
喘家作，桂枝湯加厚朴、杏子與之佳。",0.833,"[""傷寒雜病論_桂本獨有用字：\n.169之與""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0018,SHSRC0050,SHL_SONGBEN_0019,songben,guiben,傷寒雜病論_桂本,凡服桂枝湯吐者，其後必吐膿血也。,"6.20
凡服桂枝湯吐者，其後必吐膿血也。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0019,SHSRC0050,SHL_SONGBEN_0020,songben,guiben,傷寒雜病論_桂本,太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,"6.21
太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0020,SHSRC0050,SHL_SONGBEN_0021,songben,guiben,傷寒雜病論_桂本,太陽病，下之後，脈促胸滿者，桂枝去芍藥湯主之。,"6.22
太陽病，下之後，脈促，胸滿者，桂枝去芍藥湯主之。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0021,SHSRC0050,SHL_SONGBEN_0022,songben,guiben,傷寒雜病論_桂本,若微寒者，桂枝去芍藥加附子湯主之。,"6.23
太陽病，下之後，其人惡寒者，桂枝去芍藥加附子湯主之。",0.686,"[""宋本獨有用字：微若"", ""傷寒雜病論_桂本獨有用字：\n.236下人其太後惡病陽""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0022,SHSRC0050,SHL_SONGBEN_0023,songben,guiben,傷寒雜病論_桂本,太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,"6.24
太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更吐、更下也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。",0.978,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0023,SHSRC0050,SHL_SONGBEN_0024,songben,guiben,傷寒雜病論_桂本,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,"6.25
太陽病，初服桂枝湯，反煩不解者，先刺風府、風池，卻與桂枝湯。",0.864,"[""宋本獨有用字：則愈"", ""傷寒雜病論_桂本獨有用字：\n.256""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0024,SHSRC0050,SHL_SONGBEN_0025,songben,guiben,傷寒雜病論_桂本,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,"6.26
太陽病，服桂枝湯後，大汗出，脈洪大者，與白虎湯；若形似瘧，一日再發者，宜桂枝二麻黃一湯。",0.706,"[""宋本獨有用字：前如必法解"", ""傷寒雜病論_桂本獨有用字：\n.26太後病白虎陽；""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0025,SHSRC0050,SHL_SONGBEN_0026,songben,guiben,傷寒雜病論_桂本,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,"6.27
太陽病，服桂枝湯後，大汗出，大煩渴，脈洪大者，白虎加人參湯主之。",0.776,"[""宋本獨有用字：不解"", ""傷寒雜病論_桂本獨有用字：\n.267太病陽""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0026,SHSRC0050,SHL_SONGBEN_0027,songben,guiben,傷寒雜病論_桂本,太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,"6.28
太陽病，發熱惡寒，熱多寒少。若脈微弱者，此無陽也，不可發汗；脈浮大者，宜桂枝二越婢一湯。",0.862,"[""傷寒雜病論_桂本獨有用字：\n.268大浮若；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0027,SHSRC0050,SHL_SONGBEN_0028,songben,guiben,傷寒雜病論_桂本,服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。,"6.29
太陽病，服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿，微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。",0.962,"[""傷寒雜病論_桂本獨有用字：\n.269太病陽""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0028,SHSRC0050,SHL_SONGBEN_0029,songben,guiben,傷寒雜病論_桂本,傷寒，脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝欲攻其表，此誤也。得之便厥，咽中乾，煩躁吐逆者，作甘草乾薑湯與之，以復其陽。若厥愈足溫者，更作芍藥甘草湯與之，其腳即伸。若胃氣不和，譫語者，少與調胃承氣湯。若重發汗，復加燒針者，四逆湯主之。,"6.30
傷寒脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝湯欲攻其表，此誤也。得之便厥、咽中乾、煩躁、吐逆者，作甘草乾薑湯與之，以復其陽；若厥愈、足溫者，更作芍藥甘草湯與之，其腳即伸；若胃氣不和，讝語者，少與調胃承氣湯；若重發汗，復加燒針者，四逆湯主之。",0.964,"[""宋本獨有用字：譫"", ""傷寒雜病論_桂本獨有用字：\n.036、讝；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0029,SHSRC0050,SHL_SONGBEN_0031,songben,guiben,傷寒雜病論_桂本,太陽病，項背強几几，無汗惡風，葛根湯主之。,"7.1
太陽病，項背強儿儿，無汗、惡風者，葛根湯主之。",0.727,"[""宋本獨有用字：几"", ""傷寒雜病論_桂本獨有用字：\n.17、儿者""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0030,SHSRC0050,SHL_SONGBEN_0032,songben,guiben,傷寒雜病論_桂本,太陽與陽明合病者，必自下利，葛根湯主之。,"7.2
太陽與陽明合病者，必自下利，葛根湯主之；若不下利，但嘔者，葛根加半夏湯主之。",0.744,"[""傷寒雜病論_桂本獨有用字：\n.27不但加半嘔夏若；""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0031,SHSRC0050,SHL_SONGBEN_0033,songben,guiben,傷寒雜病論_桂本,太陽與陽明合病，不下利，但嘔者，葛根加半夏湯主之。,"7.2
太陽與陽明合病者，必自下利，葛根湯主之；若不下利，但嘔者，葛根加半夏湯主之。",0.809,"[""傷寒雜病論_桂本獨有用字：\n.27必自若；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0032,SHSRC0050,SHL_SONGBEN_0034,songben,guiben,傷寒雜病論_桂本,太陽病，桂枝證，醫反下之，利遂不止。脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,"7.3
太陽病桂枝證，醫反下之，利遂不止，脈促者，熱未解也；喘而汗出者，葛根黃連黃芩甘草湯主之。",0.857,"[""宋本獨有用字：表"", ""傷寒雜病論_桂本獨有用字：\n.37熱甘草；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0033,SHSRC0050,SHL_SONGBEN_0035,songben,guiben,傷寒雜病論_桂本,太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，麻黃湯主之。,"7.4
太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，",0.894,"[""宋本獨有用字：。主之湯麻黃"", ""傷寒雜病論_桂本獨有用字：\n.47""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0034,SHSRC0050,SHL_SONGBEN_0036,songben,guiben,傷寒雜病論_桂本,太陽與陽明合病，喘而胸滿者，不可下，宜麻黃湯。,"7.5
太陽與陽明合病，喘而胸滿者，不可下也，宜麻黃湯。（方見上）",0.85,"[""傷寒雜病論_桂本獨有用字：\n.57上也方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0035,SHSRC0050,SHL_SONGBEN_0037,songben,guiben,傷寒雜病論_桂本,太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿脇痛者，與小柴胡湯；脈但浮者，與麻黃湯。,"7.6
太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿、脇痛，與小柴胡湯；脈但浮者，與麻黃湯（方見上）。",0.932,"[""傷寒雜病論_桂本獨有用字：\n.67、上方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0036,SHSRC0050,SHL_SONGBEN_0039,songben,guiben,傷寒雜病論_桂本,傷寒脈浮緩，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。,"7.8
太陽中風，脈笍，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。（方見上）",0.731,"[""宋本獨有用字：傷寒浮緩"", ""傷寒雜病論_桂本獨有用字：\n.78上中太方笍見陽風（）""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0037,SHSRC0050,SHL_SONGBEN_0040,songben,guiben,傷寒雜病論_桂本,傷寒表不解，心下有水氣，乾嘔，發熱而欬，或渴，或利，或噎，或小便不利，少腹滿，或喘者，小青龍湯主之。,"7.9
傷寒，表不解，心下有水氣，乾嘔，發熱而咳，或渴、或利、或噎、或小便不利，少腹滿，或喘者，小青龍湯主之。",0.947,"[""宋本獨有用字：欬"", ""傷寒雜病論_桂本獨有用字：\n.79、咳""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0038,SHSRC0050,SHL_SONGBEN_0041,songben,guiben,傷寒雜病論_桂本,傷寒心下有水氣，欬而微喘，發熱不渴。服湯已，渴者，此寒去欲解也。小青龍湯主之。,"7.10
傷寒，心下有水氣，咳而微喘，發熱不渴，服湯已渴者，此寒去欲解也，小青龍湯主之。（方見上）",0.892,"[""宋本獨有用字：欬"", ""傷寒雜病論_桂本獨有用字：\n.017上咳方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0039,SHSRC0050,SHL_SONGBEN_0042,songben,guiben,傷寒雜病論_桂本,太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。,"7.11
太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。（見上卷）",0.923,"[""傷寒雜病論_桂本獨有用字：\n.17上卷見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0040,SHSRC0050,SHL_SONGBEN_0043,songben,guiben,傷寒雜病論_桂本,太陽病，下之微喘者，表未解故也，桂枝加厚朴杏子湯主之。,"7.12
太陽病，下之微喘者，表未解故也，桂枝加厚朴杏子湯主之。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0041,SHSRC0050,SHL_SONGBEN_0044,songben,guiben,傷寒雜病論_桂本,太陽病，外證未解，不可下也，下之為逆。欲解外者，宜桂枝湯。,"7.13
太陽病，外證未解，不可下也，下之為逆；欲解外者，宜桂枝湯。（方見上卷）",0.917,"[""傷寒雜病論_桂本獨有用字：\n.137上卷方見（）；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0042,SHSRC0050,SHL_SONGBEN_0045,songben,guiben,傷寒雜病論_桂本,太陽病，先發汗不解，而復下之，脈浮者不愈。浮為在外，而反下之，故令不愈。今脈浮，故在外，當須解外則愈，宜桂枝湯。,"7.14
太陽病，先發汗不解，而復下之，脈浮者，不愈。浮為在外，而反下之，故令不愈。今脈浮，故知在外，當須解外則愈，宜桂枝湯。（方見上卷）",0.918,"[""傷寒雜病論_桂本獨有用字：\n.147上卷方知見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0043,SHSRC0050,SHL_SONGBEN_0046,songben,guiben,傷寒雜病論_桂本,太陽病，脈浮緊，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗。服藥已微除，其人發煩目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也，麻黃湯主之。,"7.15
太陽病，脈竜，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗；服藥已，微除，其人發煩，目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也。麻黃湯主之。（方見上）",0.932,"[""宋本獨有用字：浮緊"", ""傷寒雜病論_桂本獨有用字：\n.157上方竜見（）；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0044,SHSRC0050,SHL_SONGBEN_0047,songben,guiben,傷寒雜病論_桂本,太陽病，脈浮緊，發熱，身無汗，自衄者愈。,"7.16
太陽病，脈竜，發熱、身無汗、自衄者愈。",0.815,"[""宋本獨有用字：浮緊"", ""傷寒雜病論_桂本獨有用字：\n.167、竜""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0045,SHSRC0050,SHL_SONGBEN_0048,songben,guiben,傷寒雜病論_桂本,二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發汗。設面色緣緣正赤者，陽氣怫鬱在表，當解之，熏之。若發汗不徹，不足言，陽氣怫鬱不得越，當汗不汗，其人躁煩，不知痛處，乍在腹中，乍在四肢，按之不可得，其人短氣但坐，以汗出不徹故也。更發汗則愈，何以知汗出不徹？以脈濇故知也。,"7.17
二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發其汗。設面色緣緣正赤者，陽氣怫鬱在表也，當解之薰之；若發汗不徹，徹不足言，陽氣怫鬱不得越，當汗之。不汗，則其人煩躁，不知痛處，乍在腹中，乍在四肢，按之不可得，更發汗則愈。若其人短氣但坐者，以汗出不徹故也。何以知汗出不徹？以脈濇故知之也。",0.881,"[""宋本獨有用字：熏"", ""傷寒雜病論_桂本獨有用字：\n.17薰；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0046,SHSRC0050,SHL_SONGBEN_0049,songben,guiben,傷寒雜病論_桂本,脈浮數者，法當汗出而愈。若下之，身重心悸者，不可發汗，當自汗出乃解。所以然者，尺中脈微，此裏虛。須表裏實，津液自和，便自汗出愈。,"7.18
脈竜者，法當汗出而解。若身重心悸者，不可發汗，須自汗出乃愈。所以然者，尺中脈微，此裏虛也。須裏實，津液自和，便自汗出愈。",0.71,"[""宋本獨有用字：下之數浮表"", ""傷寒雜病論_桂本獨有用字：\n.178也竜""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0047,SHSRC0050,SHL_SONGBEN_0050,songben,guiben,傷寒雜病論_桂本,脈浮緊者，法當身疼痛，宜以汗解之，假令尺中遲者，不可發汗，何以知然？以榮氣不足，血少故也。,"7.19
脈竜者，法當身疼痛，宜以汗解之。假令尺中遲者，不可發汗。所以然者，以榮氣不足，血弱故也。",0.732,"[""宋本獨有用字：何少浮知緊？"", ""傷寒雜病論_桂本獨有用字：\n.179弱所竜""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0048,SHSRC0050,SHL_SONGBEN_0051,songben,guiben,傷寒雜病論_桂本,脈浮者，病在表，可發汗，宜麻黃湯。,"7.20
脈浮者，病在表，可發汗，宜麻黃湯。（方見上）",0.889,"[""傷寒雜病論_桂本獨有用字：\n.027上方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0049,SHSRC0050,SHL_SONGBEN_0052,songben,guiben,傷寒雜病論_桂本,脈浮而數者，可發汗，宜麻黃湯。,"7.21
脈浮而緊者，可發汗，宜麻黃湯。（方見上）",0.72,"[""宋本獨有用字：數"", ""傷寒雜病論_桂本獨有用字：\n.127上方緊見（）""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0050,SHSRC0050,SHL_SONGBEN_0053,songben,guiben,傷寒雜病論_桂本,病常自汗出者，此為榮氣和，榮氣和者，外不諧，以衛氣不共榮氣諧和故爾。以榮行脈中，衛行脈外，復發其汗，榮衛和則愈，宜桂枝湯。,"7.22
病人常自汗出者，此為榮氣和，衛氣不諧也。所以然者，榮行脈中，衛行脈外，衛氣不共榮氣諧和故也。復發其汗則愈，宜桂枝湯。（方見上卷）",0.66,"[""宋本獨有用字：爾"", ""傷寒雜病論_桂本獨有用字：\n.27上也人卷所方然見（）""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0051,SHSRC0050,SHL_SONGBEN_0054,songben,guiben,傷寒雜病論_桂本,病人藏無他病，時發熱、自汗出而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯。,"7.23
病人臟無他病，時發熱，自汗出，而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯（方見上卷）",0.879,"[""宋本獨有用字：、藏"", ""傷寒雜病論_桂本獨有用字：\n.237上卷方臟見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0052,SHSRC0050,SHL_SONGBEN_0055,songben,guiben,傷寒雜病論_桂本,傷寒脈浮緊，不發汗，因致衄者，麻黃湯主之。,"7.24
傷寒，脈竜，不發汗，因致衄者，麻黃湯主之。（方見上）",0.765,"[""宋本獨有用字：浮緊"", ""傷寒雜病論_桂本獨有用字：\n.247上方竜見（）""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0053,SHSRC0050,SHL_SONGBEN_0056,songben,guiben,傷寒雜病論_桂本,傷寒不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，若頭痛者，必衄，宜桂枝湯。,"7.25
傷寒，不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，宜桂枝湯。（方見上卷）",0.867,"[""宋本獨有用字：必若衄"", ""傷寒雜病論_桂本獨有用字：\n.257上卷方見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0054,SHSRC0050,SHL_SONGBEN_0057,songben,guiben,傷寒雜病論_桂本,傷寒發汗已解，半日許復煩，脈浮數者，可更發汗，宜桂枝湯。,"7.26
傷寒，發汗已解，半日許復煩，脈竜者，可更發汗，宜桂枝湯。（方見上卷）",0.8,"[""宋本獨有用字：數浮"", ""傷寒雜病論_桂本獨有用字：\n.267上卷方竜見（）""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0055,SHSRC0050,SHL_SONGBEN_0058,songben,guiben,傷寒雜病論_桂本,凡病，若發汗，若吐，若下，若亡血，亡津液，陰陽自和者，必自愈。,"7.27
凡病若發汗、若吐、若下、若亡血、亡津液，陰陽自和者，必自愈。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0056,SHSRC0050,SHL_SONGBEN_0059,songben,guiben,傷寒雜病論_桂本,大下之後，復發汗，小便不利者，亡津液故也。勿治之，得小便利，必自愈。,"7.28
大汗之後，復下之，小便不利者，亡津液故也，勿治之，久久小便必自利。",0.64,"[""宋本獨有用字：得愈發"", ""傷寒雜病論_桂本獨有用字：\n.278久""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0057,SHSRC0050,SHL_SONGBEN_0060,songben,guiben,傷寒雜病論_桂本,下之後，復發汗，必振寒，脈微細。所以然者，以內外俱虛故也。,"7.29
大下之後，復發汗，其人必振寒，脈微細。所以然者，內外俱虛故也。",0.826,"[""傷寒雜病論_桂本獨有用字：\n.279人其大""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0058,SHSRC0050,SHL_SONGBEN_0061,songben,guiben,傷寒雜病論_桂本,下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉微，身無大熱者，乾薑附子湯主之。,"7.30
下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉而微，身無大熱者，乾薑附子湯主之。",0.961,"[""傷寒雜病論_桂本獨有用字：\n.037""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0059,SHSRC0050,SHL_SONGBEN_0062,songben,guiben,傷寒雜病論_桂本,發汗後，身疼痛，脈沉遲者，桂枝加芍藥生薑各一兩，人參三兩新加湯主之。,"7.31
發汗後，身疼痛，脈沉遲者，桂枝去芍藥加人參生薑湯主之。",0.64,"[""宋本獨有用字：一三兩各新"", ""傷寒雜病論_桂本獨有用字：\n.137去""]",bronze,variant_text,,pending,,text_match
VR_GUIBEN_0060,SHSRC0050,SHL_SONGBEN_0063,songben,guiben,傷寒雜病論_桂本,發汗後，不可更行桂枝湯，汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。,"7.32
發汗若下後，不可更行桂枝湯。汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。",0.931,"[""傷寒雜病論_桂本獨有用字：\n.237下若""]",silver,variant_text,,pending,,text_match
