clause_id,source_id,book_title,version,canonical_clause_no,chapter,six_channel,text_type,clause_layer,original_text,normalized_text,contains_formula,formula_names,formula_blocks,symptoms,negated_findings,pulse,disease_patterns,therapy_terms,contraindication_terms,mistreatment_terms,transformation_terms,prognosis_terms,herbs,time_course,collation_notes,logic_words,sha256,review_status,reviewer_id,source_resolution
SHL_SONGBEN_0011,SHSRC0033,傷寒論（宋本）,songben,11.0,辨太陽病脈證並治上,太陽病,original_clause,A,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,False,[],[],"[""身大熱""]",[],[],[],[],[],[],[],[],[],[],[],"[""反""]",3707cd5d696d50d2c8b86b6dd33b88531827b87451c663ab0a7848b0a33398a8,pending,,text_match_multi
SHL_SONGBEN_0012,SHSRC0033,傷寒論（宋本）,songben,12.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,True,"[""桂枝湯""]","[{""formula_name"": ""桂枝湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""三兩，去皮""}, {""herb"": ""芍藥"", ""dose_processing"": ""三兩""}, {""herb"": ""甘草"", ""dose_processing"": ""二兩，炙""}, {""herb"": ""生薑"", ""dose_processing"": ""三兩，切""}, {""herb"": ""大棗"", ""dose_processing"": ""十二枚，擘""}], ""preparation"": ""右五味，㕮咀三味，以水七升，微火煮取三升，去滓，適寒溫，"", ""administration"": ""服一升。服已須臾，歠熱稀粥一升餘，以助藥力。溫覆令一時許，遍身漐漐微似有汗者益佳，不可令如水流漓，病必不除。若一服汗出病差，停後服，不必盡劑。若不汗，更服依前法。又不汗，後服小促其間，半日許令三服盡。若病重者，一日一夜服，周時觀之，服一劑盡，病證猶在者，更作服，若不汗出，乃服至二、三劑。禁生冷、黏滑、肉麵、五辛、酒酪、臭惡等物。"", ""post_notes"": [], ""raw_text"": ""**桂枝湯方**\n\n桂枝<l>三兩，去皮</l>　芍藥<l>三兩</l>　甘草<l>二兩，炙</l>　生薑<l>三兩，切</l>　大棗<l>十二枚，擘</l>\n\n右五味，㕮咀三味，以水七升，微火煮取三升，去滓，適寒溫，服一升。服已須臾，歠熱稀粥一升餘，以助藥力。溫覆令一時許，遍身漐漐微似有汗者益佳，不可令如水流漓，病必不除。若一服汗出病差，停後服，不必盡劑。若不汗，更服依前法。又不汗，後服小促其間，半日許令三服盡。若病重者，一日一夜服，周時觀之，服一劑盡，病證猶在者，更作服，若不汗出，乃服至二、三劑。禁生冷、黏滑、肉麵、五辛、酒酪、臭惡等物。""}]","[""嗇嗇惡寒"", ""淅淅惡風"", ""翕翕發熱"", ""鼻鳴"", ""乾嘔""]",[],"[""陽浮而陰弱""]","[""太陽中風""]",[],[],[],[],[],"[""大棗"", ""桂枝"", ""甘草"", ""生薑"", ""芍藥""]",[],[],"[""主之""]",63f1ee3501521b84d9e2cb98d151998ec9847a3b954c6b5ea4317e5b9ab4c671,pending,,text_match_multi
SHL_SONGBEN_0013,SHSRC0033,傷寒論（宋本）,songben,13.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,True,"[""桂枝湯""]",[],"[""頭痛"", ""發熱"", ""汗出"", ""惡風""]",[],[],"[""太陽病""]",[],[],[],[],[],[],[],[],"[""主之""]",ae2cf8140a31114dd2ad15ed81673a89865c1015fd6f3b53b87d260d61ef2fa3,pending,,text_match_multi
SHL_SONGBEN_0014,SHSRC0033,傷寒論（宋本）,songben,14.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,True,"[""桂枝加葛根湯""]","[{""formula_name"": ""桂枝加葛根湯"", ""composition"": [{""herb"": ""葛根"", ""dose_processing"": ""四兩""}, {""herb"": ""桂枝"", ""dose_processing"": ""二兩，去皮""}, {""herb"": ""芍藥"", ""dose_processing"": ""二兩""}, {""herb"": ""生薑"", ""dose_processing"": ""三兩，切""}, {""herb"": ""甘草"", ""dose_processing"": ""二兩，炙""}, {""herb"": ""大棗"", ""dose_processing"": ""十二枚，擘""}, {""herb"": ""麻黃"", ""dose_processing"": ""三兩，去節""}], ""preparation"": ""右七味，以水一斗，先煮麻黃、葛根，減二升，去上沫，內諸藥，煮取三升，去滓。"", ""administration"": ""溫服一升。覆取微似汗，不須啜粥，餘如桂枝法將息及禁忌。"", ""post_notes"": [], ""raw_text"": ""**桂枝加葛根湯方**\n\n葛根<l>四兩</l>　桂枝<l>二兩，去皮</l>　芍藥<l>二兩</l>　生薑<l>三兩，切</l>　甘草<l>二兩，炙</l>　大棗<l>十二枚，擘</l>　麻黃<l>三兩，去節</l>\n\n右七味，以水一斗，先煮麻黃、葛根，減二升，去上沫，內諸藥，煮取三升，去滓。溫服一升。覆取微似汗，不須啜粥，餘如桂枝法將息及禁忌。""}]","[""項背強几几"", ""反汗出"", ""惡風""]",[],[],"[""太陽病""]",[],[],[],[],[],"[""大棗"", ""桂枝"", ""甘草"", ""生薑"", ""芍藥"", ""葛根"", ""麻黃""]",[],[],"[""反"", ""主之""]",c59dc93fcc80a1ef9ddc77b9c8dcf6c3e959503892d73719fddcd3898c93fc52,pending,,text_match_multi
SHL_SONGBEN_0015,SHSRC0033,傷寒論（宋本）,songben,15.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,True,"[""桂枝湯""]",[],"[""氣上衝""]",[],[],"[""太陽病""]","[""下之""]",[],"[""下之後""]",[],[],[],[],[],"[""可與"", ""若""]",7098115ba1120c7d057efbb55e76b79d8bba75190a591a1ee41578a242ce2be2,pending,,text_match_multi
SHL_SONGBEN_0016,SHSRC0033,傷寒論（宋本）,songben,16.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。常須識此，勿令誤也。,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。常須識此，勿令誤也。,False,[],[],"[""發熱"", ""汗不出""]",[],"[""浮緊""]","[""太陽病"", ""壞病""]","[""發汗""]","[""不中與"", ""不可與""]","[""若吐"", ""溫針""]","[""壞病""]","[""解""]",[],"[""三日""]",[],"[""不可"", ""可與"", ""勿"", ""若"", ""誤""]",fecd917d53f35be91994f779b95343b74003f18f94009ee19daf560af9a61311,pending,,text_match_multi
SHL_SONGBEN_0017,SHSRC0033,傷寒論（宋本）,songben,17.0,辨太陽病脈證並治上,太陽病,original_clause,A,若酒客病，不可與桂枝湯，得之則嘔，以酒客不喜甘故也。,若酒客病，不可與桂枝湯，得之則嘔，以酒客不喜甘故也。,False,[],[],"[""嘔""]",[],[],"[""酒客""]",[],"[""不可與""]",[],[],[],[],[],[],"[""不可"", ""可與"", ""若"", ""得之""]",c29b8694702d4a9ee6274d20c084d86bfeadaed65c8a179bd67e51b63ad2641e,pending,,text_match_multi
SHL_SONGBEN_0018,SHSRC0033,傷寒論（宋本）,songben,18.0,辨太陽病脈證並治上,太陽病,original_clause,A,喘家作，桂枝湯加厚朴、杏子佳。,喘家作，桂枝湯加厚朴、杏子佳。,True,"[""桂枝湯""]",[],[],[],[],"[""喘家""]",[],[],[],[],[],[],[],[],[],f4af10025589d11ac74f8312241502e8a9d7c11584b335f7ce7f7e6efc507fc4,pending,,text_match_multi
SHL_SONGBEN_0019,SHSRC0033,傷寒論（宋本）,songben,19.0,辨太陽病脈證並治上,太陽病,original_clause,A,凡服桂枝湯吐者，其後必吐膿血也。,凡服桂枝湯吐者，其後必吐膿血也。,True,"[""桂枝湯""]",[],"[""吐膿血""]",[],[],[],[],[],[],[],[],[],[],[],"[""必""]",5ccad223bea3b820e340a3d2b92845259bd2dd2c0fee945dbfce7bc9bfddcdef,pending,,text_match_multi
SHL_SONGBEN_0020,SHSRC0033,傷寒論（宋本）,songben,20.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,True,"[""桂枝加附子湯""]","[{""formula_name"": ""桂枝加附子湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""三兩，去皮""}, {""herb"": ""芍藥"", ""dose_processing"": ""三兩""}, {""herb"": ""甘草"", ""dose_processing"": ""三兩，炙""}, {""herb"": ""生薑"", ""dose_processing"": ""三兩，切""}, {""herb"": ""大棗"", ""dose_processing"": ""十二枚，擘""}, {""herb"": ""附子"", ""dose_processing"": ""一枚，炮，去皮，破八片""}], ""preparation"": ""右六味，以水七升，煮取三升，去滓，"", ""administration"": ""溫服一升。本云（注：《玉函經》作“本方”。）：桂枝湯，今加附子。將息如前法。"", ""post_notes"": [], ""raw_text"": ""**桂枝加附子湯方**\n\n桂枝<l>三兩，去皮</l>　芍藥<l>三兩</l>　甘草<l>三兩，炙</l>　生薑<l>三兩，切</l>　大棗<l>十二枚，擘</l>　附子<l>一枚，炮，去皮，破八片</l>\n\n右六味，以水七升，煮取三升，去滓，溫服一升。本云<j>《玉函經》作“本方”。</j>：桂枝湯，今加附子。將息如前法。""}]","[""遂漏不止"", ""惡風"", ""小便難""]",[],[],"[""太陽病""]","[""發汗""]",[],[],[],[],"[""大棗"", ""桂枝"", ""甘草"", ""生薑"", ""芍藥"", ""附子""]",[],[],"[""急"", ""主之""]",6719eb5b952d6e14306761757fb77171c9ce66e48669c875c55a8af8d187bf21,pending,,text_match_multi
SHL_SONGBEN_0021,SHSRC0033,傷寒論（宋本）,songben,21.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，下之後，脈促胸滿者，桂枝去芍藥湯主之。,太陽病，下之後，脈促胸滿者，桂枝去芍藥湯主之。,True,"[""桂枝去芍藥湯""]","[{""formula_name"": ""桂枝去芍藥湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""三兩，去皮""}, {""herb"": ""甘草"", ""dose_processing"": ""二兩，炙""}, {""herb"": ""生薑"", ""dose_processing"": ""三兩，切""}, {""herb"": ""大棗"", ""dose_processing"": ""十二枚，擘""}], ""preparation"": ""右四味，以水七升，煮取三升，去滓，"", ""administration"": ""溫服一升。本云：桂枝湯，今去芍藥。將息如前法。"", ""post_notes"": [], ""raw_text"": ""**桂枝去芍藥湯方**\n\n桂枝<l>三兩，去皮</l>　甘草<l>二兩，炙</l>　生薑<l>三兩，切</l>　大棗<l>十二枚，擘</l>\n\n右四味，以水七升，煮取三升，去滓，溫服一升。本云：桂枝湯，今去芍藥。將息如前法。""}]","[""胸滿""]",[],"[""促""]","[""太陽病""]","[""下之""]",[],"[""下之後""]",[],[],"[""大棗"", ""桂枝"", ""甘草"", ""生薑""]",[],[],"[""主之""]",f84b631ee06638ce49e9138c6ee196b239b95598d4b97ecc8f2fa965a037ba5e,pending,,text_match_multi
SHL_SONGBEN_0022,SHSRC0033,傷寒論（宋本）,songben,22.0,辨太陽病脈證並治上,太陽病,original_clause,A,若微寒者，桂枝去芍藥加附子湯主之。,若微寒者，桂枝去芍藥加附子湯主之。,True,"[""桂枝去芍藥加附子湯""]","[{""formula_name"": ""桂枝去芍藥加附子湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""三兩，去皮""}, {""herb"": ""甘草"", ""dose_processing"": ""二兩，炙""}, {""herb"": ""生薑"", ""dose_processing"": ""三兩，切""}, {""herb"": ""大棗"", ""dose_processing"": ""十二枚，擘""}, {""herb"": ""附子"", ""dose_processing"": ""一枚，炮，去皮，破八片""}], ""preparation"": ""右五味，以水七升，煮取三升，去滓，"", ""administration"": ""溫服一升。本云：桂枝湯，今去芍藥加附子。將息如前法。"", ""post_notes"": [], ""raw_text"": ""**桂枝去芍藥加附子湯方**\n\n桂枝<l>三兩，去皮</l>　甘草<l>二兩，炙</l>　生薑<l>三兩，切</l>　大棗<l>十二枚，擘</l>　附子<l>一枚，炮，去皮，破八片</l>\n\n右五味，以水七升，煮取三升，去滓，溫服一升。本云：桂枝湯，今去芍藥加附子。將息如前法。""}]",[],[],[],[],[],[],[],[],[],"[""大棗"", ""桂枝"", ""甘草"", ""生薑"", ""附子""]",[],[],"[""若"", ""主之""]",d57f946e1ece20cb2027b5fc8ced0175086126de41898d85a75f431868445461,pending,,text_match_multi
SHL_SONGBEN_0023,SHSRC0033,傷寒論（宋本）,songben,23.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,True,"[""桂枝麻黃各半湯""]","[{""formula_name"": ""桂枝麻黃各半湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""一兩十六銖，去皮""}, {""herb"": ""芍藥"", ""dose_processing"": """"}, {""herb"": ""生薑"", ""dose_processing"": ""切""}, {""herb"": ""甘草"", ""dose_processing"": ""炙""}, {""herb"": ""麻黃"", ""dose_processing"": ""去節，各一兩""}, {""herb"": ""大棗"", ""dose_processing"": ""四枚，擘""}, {""herb"": ""杏仁"", ""dose_processing"": ""二十四枚，湯浸，去皮尖及兩仁者""}], ""preparation"": ""右七味，以水五升，先煮麻黃一二沸，去上沫，內諸藥，煮取一升八合，去滓，"", ""administration"": ""溫服六合。本云：桂枝湯三合，麻黃湯三合，併為六合，頓服。將息如上法。"", ""post_notes"": [], ""raw_text"": ""**桂枝麻黃各半湯方**\n\n桂枝<l>一兩十六銖，去皮</l>　芍藥　生薑<l>切</l>　甘草<l>炙</l>　麻黃<l>去節，各一兩</l>　大棗<l>四枚，擘</l>　杏仁<l>二十四枚，湯浸，去皮尖及兩仁者</l>\n\n右七味，以水五升，先煮麻黃一二沸，去上沫，內諸藥，煮取一升八合，去滓，溫服六合。本云：桂枝湯三合，麻黃湯三合，併為六合，頓服。將息如上法。""}]","[""如瘧狀"", ""發熱"", ""惡寒"", ""面色反有熱色"", ""汗出""]","[""不嘔""]","[""微"", ""陰陽俱虛"", ""緩微""]","[""太陽病""]","[""發汗""]","[""不可更發汗""]",[],[],"[""欲愈"", ""欲解""]","[""大棗"", ""杏仁"", ""桂枝"", ""甘草"", ""生薑"", ""芍藥"", ""麻黃""]","[""八九日"", ""一日""]",[],"[""不可"", ""反"", ""必"", ""得之"", ""宜""]",99c230a77bed0c4706b78d32446b90f2c113d35d7043bf38b656cadccf158418,pending,,text_match_multi
SHL_SONGBEN_0024,SHSRC0033,傷寒論（宋本）,songben,24.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,True,"[""桂枝湯""]",[],"[""反煩不解""]",[],[],"[""太陽病""]",[],[],[],[],"[""愈""]",[],[],[],"[""反""]",4ea5f5ab0e81634d2cb662c083e24235e9453fc1b56e25fa42039390e4b149f9,pending,,text_match_multi
SHL_SONGBEN_0025,SHSRC0033,傷寒論（宋本）,songben,25.0,辨太陽病脈證並治上,太陽病,original_clause,A,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,True,"[""桂枝二麻黃一湯"", ""桂枝湯""]","[{""formula_name"": ""桂枝二麻黃一湯"", ""composition"": [{""herb"": ""桂枝"", ""dose_processing"": ""一兩十七銖，去皮""}, {""herb"": ""芍藥"", ""dose_processing"": ""一兩六銖""}, {""herb"": ""麻黃"", ""dose_processing"": ""十六銖，去節""}, {""herb"": ""生薑"", ""dose_processing"": ""一兩六銖，切""}, {""herb"": ""杏仁"", ""dose_processing"": ""十六個，去皮尖""}, {""herb"": ""甘草"", ""dose_processing"": ""一兩二銖，炙""}, {""herb"": ""大棗"", ""dose_processing"": ""五枚，擘""}], ""preparation"": ""右七味，以水五升，先煮麻黃一二沸，去上沫，內諸藥，煮取二升，去滓，"", ""administration"": ""溫服一升，日再服。本云：桂枝湯二分，麻黃湯一分，合為二升，分再服。今後合為一方。將息如前法。"", ""post_notes"": [], ""raw_text"": ""**桂枝二麻黃一湯方**\n\n桂枝<l>一兩十七銖，去皮</l>　芍藥<l>一兩六銖</l>　麻黃<l>十六銖，去節</l>　生薑<l>一兩六銖，切</l>　杏仁<l>十六個，去皮尖</l>　甘草<l>一兩二銖，炙</l>　大棗<l>五枚，擘</l>\n\n右七味，以水五升，先煮麻黃一二沸，去上沫，內諸藥，煮取二升，去滓，溫服一升，日再服。本云：桂枝湯二分，麻黃湯一分，合為二升，分再服。今後合為一方。將息如前法。""}]","[""大汗出"", ""汗出""]",[],"[""洪大""]",[],[],[],[],[],"[""解""]","[""大棗"", ""杏仁"", ""桂枝"", ""甘草"", ""生薑"", ""芍藥"", ""麻黃""]","[""一日""]",[],"[""若"", ""必"", ""宜""]",e2b1147a295f437324a1d194282821a5ec29ca6609d0bad5d15032302292b39f,pending,,text_match_multi
SHL_SONGBEN_0026,SHSRC0033,傷寒論（宋本）,songben,26.0,辨太陽病脈證並治上,太陽病,original_clause,A,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,True,"[""白虎加人參湯"", ""桂枝湯""]","[{""formula_name"": ""白虎加人參湯"", ""composition"": [{""herb"": ""知母"", ""dose_processing"": ""六兩""}, {""herb"": ""石膏"", ""dose_processing"": ""一斤，碎，綿裹""}, {""herb"": ""甘草"", ""dose_processing"": ""二兩，炙""}, {""herb"": ""粳米"", ""dose_processing"": ""六合""}, {""herb"": ""人參"", ""dose_processing"": ""三兩""}], ""preparation"": ""右五味，以水一斗，煮米熟，湯成，去滓，"", ""administration"": ""溫服一升，日三服。"", ""post_notes"": [], ""raw_text"": ""**白虎加人參湯方**\n\n知母<l>六兩</l>　石膏<l>一斤，碎，綿裹</l>　甘草<l>二兩，炙</l>　粳米<l>六合</l>　人參<l>三兩</l>\n\n右五味，以水一斗，煮米熟，湯成，去滓，溫服一升，日三服。""}]","[""大汗出"", ""大煩渴不解""]",[],"[""洪大""]",[],[],[],[],[],"[""解""]","[""人參"", ""甘草"", ""知母"", ""石膏"", ""粳米""]",[],[],"[""主之""]",b960fc39e46d67e13c90541475c24ea7ff3f4a8c479ab3c6abe85bddf13d8451,pending,,text_match_multi
